Undetected/Location/Undetected/<|>data/Stats/Patterns Data/UndetectedLocationUndetected.txt<|>265
Name/Name/Undetected/DOB/<|>data/Stats/Patterns Data/NameNameUndetectedDOB.txt<|>2
Common1/Name/<|>data/Stats/Patterns Data/Common1Name.txt<|>67
Common1/DOB/<|>data/Stats/Patterns Data/Common1DOB.txt<|>89
Common1/Undetected/DOB/Undetected/<|>data/Stats/Patterns Data/Common1UndetectedDOBUndetected.txt<|>40
Undetected/Name/Undetected/Common3/Undetected/<|>data/Stats/Patterns Data/UndetectedNameUndetectedCommon3Undetected.txt<|>6
Name/Mobile/<|>data/Stats/Patterns Data/NameMobile.txt<|>349
Common1/Undetected/Name/Location/Undetected/<|>data/Stats/Patterns Data/Common1UndetectedNameLocationUndetected.txt<|>11
Common1/Undetected/Undetected/DOB/DOB/<|>data/Stats/Patterns Data/Common1UndetectedUndetectedDOBDOB.txt<|>5
Mobile/Common1/<|>data/Stats/Patterns Data/MobileCommon1.txt<|>126
Location/DOB/Undetected/<|>data/Stats/Patterns Data/LocationDOBUndetected.txt<|>3
Common1/Name/Undetected/DOB/<|>data/Stats/Patterns Data/Common1NameUndetectedDOB.txt<|>12
email_Name/Name/<|>data/Stats/Patterns Data/emailNameName.txt<|>1
Undetected/Common1/Common3/Undetected/Location/<|>data/Stats/Patterns Data/UndetectedCommon1Common3UndetectedLocation.txt<|>4
Name/Undetected/Mobile/<|>data/Stats/Patterns Data/NameUndetectedMobile.txt<|>113
Undetected/Name/Undetected/Name/Name/<|>data/Stats/Patterns Data/UndetectedNameUndetectedNameName.txt<|>6
Undetected/Common1/Common3/Name/Name/Undetected/<|>data/Stats/Patterns Data/UndetectedCommon1Common3NameNameUndetected.txt<|>1
Name/Common3/<|>data/Stats/Patterns Data/NameCommon3.txt<|>18
Undetected/Location/<|>data/Stats/Patterns Data/UndetectedLocation.txt<|>158
DOB/DOB/Name/Undetected/<|>data/Stats/Patterns Data/DOBDOBNameUndetected.txt<|>1
Common1/Undetected/Common2/Name/Undetected/<|>data/Stats/Patterns Data/Common1UndetectedCommon2NameUndetected.txt<|>15
Undetected/Common1/Location/Undetected/Name/<|>data/Stats/Patterns Data/UndetectedCommon1LocationUndetectedName.txt<|>2
Common1/Common2/<|>data/Stats/Patterns Data/Common1Common2.txt<|>25
Common2/Name/Undetected/DOB/<|>data/Stats/Patterns Data/Common2NameUndetectedDOB.txt<|>14
Undetected/Name/Undetected/Name/Name/Undetected/<|>data/Stats/Patterns Data/UndetectedNameUndetectedNameNameUndetected.txt<|>1
Common1/Undetected/Undetected/Location/Mobile/<|>data/Stats/Patterns Data/Common1UndetectedUndetectedLocationMobile.txt<|>5
Undetected/Common1/Common3/Undetected/Name/Name/<|>data/Stats/Patterns Data/UndetectedCommon1Common3UndetectedNameName.txt<|>4
Common1/Undetected/Name/<|>data/Stats/Patterns Data/Common1UndetectedName.txt<|>36
Common2/Name/Undetected/Name/Undetected/<|>data/Stats/Patterns Data/Common2NameUndetectedNameUndetected.txt<|>4
Undetected/Common1/Name/Undetected/Name/Name/<|>data/Stats/Patterns Data/UndetectedCommon1NameUndetectedNameName.txt<|>8
Common3/Undetected/Location/Name/Undetected/<|>data/Stats/Patterns Data/Common3UndetectedLocationNameUndetected.txt<|>3
Common1/Mobile/<|>data/Stats/Patterns Data/Common1Mobile.txt<|>215
Common1/Undetected/Common3/Undetected/DOB/<|>data/Stats/Patterns Data/Common1UndetectedCommon3UndetectedDOB.txt<|>2
Undetected/DOB/Undetected/<|>data/Stats/Patterns Data/UndetectedDOBUndetected.txt<|>535
Undetected/Common2/Undetected/Name/Location/<|>data/Stats/Patterns Data/UndetectedCommon2UndetectedNameLocation.txt<|>5
Common3/Mobile/<|>data/Stats/Patterns Data/Common3Mobile.txt<|>121
Undetected/Mobile/Name/<|>data/Stats/Patterns Data/UndetectedMobileName.txt<|>2
Common1/Undetected/Name/Undetected/Name/<|>data/Stats/Patterns Data/Common1UndetectedNameUndetectedName.txt<|>75
